folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
CVD Outcomes,stroke,Number of Strokes Since Baseline,Stroke since baseline Polysomnogram (PSG) (as recorded in parent studies datasets),numeric,number of events,"",adjudicated,"",true,""
CVD Outcomes,vital,Vital status at last contact,"Deaths from any cause were identified and confirmed for the cohort using multiple concurrent approaches including follow-up interviews, written annual questionnaires or telephone contacts with study participants or next-of-kin, surveillance of local hospital records and community obituaries, and linkage with the Social Security Administration Death Master File. (For more information, see [Punjabi et al. 2009 (PMID: 19688045)](https://www.ncbi.nlm.nih.gov/pubmed/19688045))",choices,"",vitalstat,adjudicated,"",true,""
Demographics,age_category_s1,Age at Sleep Heart Health Study Visit One (SHHS1),"Age at time of study in years, based on start date of Sleep Heart Health Study Visit One (SHHS1) Polysomnography (PSG) recording.",choices,"",agecat,"","",true,""
Demographics,age_category_s2,Age at  Sleep Heart Health Study Visit Two (SHHS2),"Age at time of study in years, based on start date of Sleep Heart Health Study Visit One (SHHS1) Polysomnography (PSG) recording.",choices,"",agecat,"","",true,""
Demographics,age_s1,Age at Sleep Heart Health Study Visit One (SHHS1),"Age at time of study in years, based on start date of Sleep Heart Health Study Visit One (SHHS1) Polysomnography (PSG) recording.",numeric,years,"","","",true,""
Demographics,age_s2,Age at Sleep Heart Health Study Visit Two (SHHS2),Age in years at the time of the Sleep Heart Health Study Visit Two (SHHS2) visit,numeric,years,"","","",true,""
Demographics,educat,Education level (Sleep Heart Health Study Visit One (SHHS1)),"",choices,"",eduyears,"","",true,""
Demographics,ethnicity,Ethnicity,"Note: This variable was derived from `race` and was not asked as a separate demographic question. At the time of SHHS Visit 1, race and ethnicity were collected together in a single question. This variable was derived later on when the datasets were prepared for deposition in Biologic Specimen and Data Repository Information Coordinating Center (BioLINCC).",choices,"",ethnicity12,hispanic;latino,"",true,""
Demographics,gender,Gender,Gender as reported by Parent Cohort,choices,"",gender12,"","",true,""
Demographics,mstat,Marital Status (Sleep Heart Health Study Visit One (SHHS1)),"",choices,"",marital,single,"",true,""
Demographics,nsrrid,NSRR Subject ID,This subject identifier was created by the National Sleep Research Resource (NSRR) team to more easily match with file downloads. Use 'pptid' to link with Biologic Specimen and Data Repository Information Coordinating Center (BioLINCC) and cohort-specific data.,identifier,"","","","",true,""
Demographics,pptid,Randomized ID: Incorporates parent study random ID,This participant ID matches what is present in Biologic Specimen and Data Repository Information Coordinating Center (BioLINCC).,identifier,"","","","",true,""
Demographics,race,Race,Race is presented as three (3) categories based on [suggested Biologic Specimen and Data Repository Information Coordinating Center (BioLINCC) de-identification procedures](http://www.nhlbi.nih.gov/research/funding/human-subjects/set-preparation-guidelines).,choices,"",race123,"","",true,""
HRV Analysis,avnn,Mean of all normal sinus to normal sinus interbeat intervals (NN) ,"",numeric,milliseconds,"",ms;heart rate variability,"","",""
HRV Analysis,event01end,Respiratory event (01) end time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
HRV Analysis,event01start,Respiratory event (01) start time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
HRV Analysis,event02end,Respiratory event (02) end time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
HRV Analysis,event02start,Respiratory event (02) start time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
HRV Analysis,event03end,Respiratory event (03) end time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
HRV Analysis,event03start,Respiratory event (03) start time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
HRV Analysis,event04end,Respiratory event (04) end time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
HRV Analysis,event04start,Respiratory event (04) start time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
HRV Analysis,event05end,Respiratory event (05) end time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
HRV Analysis,event05start,Respiratory event (05) start time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
HRV Analysis,event06end,Respiratory event (06) end time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
HRV Analysis,event06start,Respiratory event (06) start time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
HRV Analysis,event07end,Respiratory event (07) end time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
HRV Analysis,event07start,Respiratory event (07) start time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
HRV Analysis,event08end,Respiratory event (08) end time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
HRV Analysis,event08start,Respiratory event (08) start time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
HRV Analysis,event09end,Respiratory event (09) end time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
HRV Analysis,event09start,Respiratory event (09) start time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
HRV Analysis,event10end,Respiratory event (10) end time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
HRV Analysis,event10start,Respiratory event (10) start time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
HRV Analysis,event11end,Respiratory event (11) end time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
HRV Analysis,event11start,Respiratory event (11) start time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
HRV Analysis,event12end,Respiratory event (12) end time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
HRV Analysis,event12start,Respiratory event (12) start time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
HRV Analysis,event13end,Respiratory event (13) end time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
HRV Analysis,event13start,Respiratory event (13) start time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
HRV Analysis,event14end,Respiratory event (14) end time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
HRV Analysis,event14start,Respiratory event (14) start time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
HRV Analysis,event15end,Respiratory event (15) end time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
HRV Analysis,event15start,Respiratory event (15) start time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
HRV Analysis,event16end,Respiratory event (16) end time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
HRV Analysis,event16start,Respiratory event (16) start time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
HRV Analysis,event17end,Respiratory event (17) end time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
HRV Analysis,event17start,Respiratory event (17) start time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
HRV Analysis,event18end,Respiratory event (18) end time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
HRV Analysis,event18start,Respiratory event (18) start time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
HRV Analysis,hasrespevent,1 or more respiratory events in 5 minute window,"",choices,"",noyes,heart rate variability,"","",""
HRV Analysis,hf,High frequency power: the normal sinus to normal sinus interbeat (NN) interval spectral power between 0.15 and 0.4 Hz,"",numeric,milliseconds squared,"",heart rate variability;ms2,"","",""
HRV Analysis,hf_n,High frequency power (normalized),"",numeric,"","",heart rate variability,hf_n = hf / (lf + hf),"",""
HRV Analysis,ihr,Instantaneous heart rate,"",numeric,beats per minute,"",heart rate variability;bpm,"","",""
HRV Analysis,lf,Low frequency power: the normal sinus to normal sinus interbeat (NN) interval spectral power between 0.04 and 0.15 Hz,"",numeric,milliseconds squared,"",heart rate variability;ms2,"","",""
HRV Analysis,lf_hf,The ratio of low to high frequency power,"",numeric,"","",heart rate variability,"","",""
HRV Analysis,lf_n,Low frequency power (normalized),"",numeric,"","",heart rate variability,lf_n = lf / (lf + hf),"",""
HRV Analysis,nn_rr,Ratio of consecutive normal sinus beats (NN) over all cardiac inter-beat (RR) intervals,"",numeric,"","",heart rate variability,"","",""
HRV Analysis,pnn10,Percentage of differences between adjacent normal sinus to normal sinus interbeat (NN) intervals that are >10 ms,"",numeric,percent,"",heart rate variability;%,"","",""
HRV Analysis,pnn20,Percentage of differences between adjacent normal sinus to normal sinus interbeat (NN) intervals that are >20 ms,"",numeric,percent,"",heart rate variability;%,"","",""
HRV Analysis,pnn30,Percentage of differences between adjacent normal sinus to normal sinus interbeat (NN) intervals that are >30 ms,"",numeric,percent,"",heart rate variability;%,"","",""
HRV Analysis,pnn40,Percentage of differences between adjacent normal sinus to normal sinus interbeat (NN) intervals that are >40 ms,"",numeric,percent,"",heart rate variability;%,"","",""
HRV Analysis,pnn50,Percentage of differences between adjacent normal sinus to normal sinus interbeat (NN) intervals that are >50 ms,"",numeric,percent,"",heart rate variability;%,"","",""
HRV Analysis,rmssd,Square root of the mean of the squares of difference between adjacent normal sinus to normal sinus interbeat (NN) intervals,"",numeric,milliseconds,"",heart rate variability;ms,"","",""
HRV Analysis,sdann,Standard deviation of the averages of normal sinus to normal sinus interbeat (NN) intervals in all 5-minute segments,"",numeric,milliseconds,"",heart rate variability;ms,"","",""
HRV Analysis,sdnn,Standard deviation of all normal sinus to normal sinus interbeat (NN) intervals,"",numeric,milliseconds,"",heart rate variability;ms,"","",""
HRV Analysis,sdnnidx,Mean of the standard deviations of normal sinus to normal sinus interbeat (NN) intervals in all 5-minute segments,"",numeric,milliseconds,"",heart rate variability;ms,"","",""
HRV Analysis,sleepstage01,Sleep stage of first 30 second epoch in 5 minute window,"",choices,"",sleepstage,heart rate variability,"","",""
HRV Analysis,sleepstage02,Sleep stage of second 30 second epoch in 5 minute window,"",choices,"",sleepstage,heart rate variability,"","",""
HRV Analysis,sleepstage03,Sleep stage of third 30 second epoch in 5 minute window,"",choices,"",sleepstage,heart rate variability,"","",""
HRV Analysis,sleepstage04,Sleep stage of fourth 30 second epoch in 5 minute window,"",choices,"",sleepstage,heart rate variability,"","",""
HRV Analysis,sleepstage05,Sleep stage of fifth 30 second epoch in 5 minute window,"",choices,"",sleepstage,heart rate variability,"","",""
HRV Analysis,sleepstage06,Sleep stage of sixth 30 second epoch in 5 minute window,"",choices,"",sleepstage,heart rate variability,"","",""
HRV Analysis,sleepstage07,Sleep stage of seventh 30 second epoch in 5 minute window,"",choices,"",sleepstage,heart rate variability,"","",""
HRV Analysis,sleepstage08,Sleep stage of eighth 30 second epoch in 5 minute window,"",choices,"",sleepstage,heart rate variability,"","",""
HRV Analysis,sleepstage09,Sleep stage of ninth 30 second epoch in 5 minute window,"",choices,"",sleepstage,heart rate variability,"","",""
HRV Analysis,sleepstage10,Sleep stage of tenth 30 second epoch in 5 minute window,"",choices,"",sleepstage,heart rate variability,"","",""
HRV Analysis,start__sec_,5 minute window start time,"",numeric,seconds from start of recording,"",heart rate variability,"","",""
HRV Analysis,tot_pwr,Total normal sinus to normal sinus interbeat (NN) interval spectral power up to 0.4 Hz,"",numeric,milliseconds squared,"",heart rate variability;ms2,"","",""
HRV Analysis,ulf,Ultra-low frequency power: the normal sinus to normal sinus interbeat (NN) interval spectral power between 0 and 0.003 Hz,"",numeric,milliseconds squared,"",heart rate variability;ms2,"","",""
HRV Analysis,vlf,Very low frequency power: the normal sinus to normal sinus interbeat (NN) interval spectral power between 0.003 and 0.04 Hz,"",numeric,milliseconds squared,"",heart rate variability;ms2,"","",""
Interim,accidents,Number of automobile accidents in lifetime,"",numeric,car accidents,"","","","",""
Interim,aspirin,How often are aspirin or aspirin-containing medications taken,"",choices,"",nevevery,acetylsalicylic acid;asa,"","",""
Interim,atdinner,Fall asleep at the dinner table,"",choices,"",nhchan4,"","","",""
Interim,avgdias,Average Diastolic: Sleep Heart Health Study (SHHS) protocol: average of 2nd and 3rd reading   PARENT STUDY: average of all three readings,"",numeric,millimeters of mercury,"",blood pressure;mmhg,"","",""
Interim,avgsys,Average Systolic: Sleep Heart Health Study (SHHS) protocol: average of 2nd and 3rd reading   PARENT STUDY: average of all three readings,"",numeric,millimeters of mercury,"",blood pressure;mmhg,"","",""
Interim,awakeearly,Wake up too early in the morning - unable to get back to sleep,"",choices,"",nevalw,"","","",""
Interim,awakenight,Wake up during night - unable to get back to sleep,"",choices,"",nevalw,"","","",""
Interim,bpmeds,Treated for high blood pressure (BP) with medications since sleep study,"",choices,"",yesnod,htn;hypertension,"","",""
Interim,bpprotocol,Protocol used to measure blood pressure (BP),"",choices,"",protocol,"","","",""
Interim,bptime,Time blood pressure (BP) was measured,"",time,"","","","","",""
Interim,cabgptca,Coronary artery bypass graft surgery (CABG)/Percutaneous transluminal coronary angioplasty (PTCA) during interval since the prior parent exam,"",choices,"",noyes01,"","","",""
Interim,cabgptcadt,Days from index date to Coronary artery bypass graft surgery (CABG)/Percutaneous transluminal coronary angioplasty (PTCA),"",numeric,days from index date,"","","","",""
Interim,calldt,Days from index date to call,"",numeric,days from index date,"","","","",""
Interim,carotidend,Carotid Endarterectomy during interval since the prior parent exam,"",choices,"",noyes01,"","","",""
Interim,carotidenddt,Days from index date to Carotid Endarterectomy,"",numeric,days from index date,"","","","",""
Interim,chfdt,Days from index date to Congestive Heart Failure (CHF),"",numeric,days from index date,"","","","",""
Interim,cmplbp,Completed blood pressure (BP),"",choices,"",complete2,"","","",""
Interim,cmplcvd,Completed cardiovascular disease (CVD) events form (parent study form),"",choices,"",complete4,"","","",""
Interim,cmplmeds,Completed medication form,"",choices,"",complete4,"","","",""
Interim,cmplshq,Completed sleep health questionnaire form,"",choices,"",complete4,"","","",""
Interim,cmplwt,Completed weight,"",choices,"",complete2,"","","",""
Interim,comments,Any comments,"",text,"","","","","",""
Interim,completeddt_scr,Days from index date to date when form was completed,"",numeric,days from index date,"","","","",""
Interim,completeddt_stat,Days from index date to date when form,"",numeric,days from index date,"","","","",""
Interim,contact,Able to contact participant,"",choices,"",noyes01,"","","",""
Interim,cuffsize,Cuff size,"",choices,"",csize,"","","",""
Interim,diastolic1,Diastolic blood pressure (BP): first reading,"",numeric,millimeters of mercury,"",mmhg,"","",""
Interim,diastolic2,Diastolic blood pressure (BP): second reading,"",numeric,millimeters of mercury,"",mmhg,"","",""
Interim,diastolic3,Diastolic blood pressure (BP): third reading,"",numeric,millimeters of mercury,"",mmhg,"","",""
Interim,drive,Does participant drive,"",choices,"",noyes01,"","","",""
Interim,fallasleeptrouble,Trouble falling asleep,"",choices,"",nevalw,insomnia,"","",""
Interim,formdt,Days from index date to date when form was filled out,"",numeric,days from index date,"","","","",""
Interim,freqdrive,Frequency that participant drives,"",choices,"",everynever,"","","",""
Interim,freqnaps,Usual number of naps per week,"",numeric,naps,"","","","",""
Interim,freqothersnearby,Frequency others were nearby where participant slept,"",choices,"",nevrusu3,"","","",""
Interim,freqstopbreathing,Frequency of breathing stoppage during sleep,"",choices,"",raralw5,apneas,"","",""
Interim,fup_all,All followup forms present,"",choices,"",noyes01,"","","",""
Interim,fup_scr,Contact Form present,"",choices,"",noyes01,"","","",""
Interim,fup_slpsym,Sleep Habits Form present,"",choices,"",noyes01,"","","",""
Interim,fup_stat,"Status, Blood Pressure and Weight Form present","",choices,"",noyes01,"","","",""
Interim,fuweight,Follow up (FU) status weight,Units are not consistent across observations; use [wtunits](https://sleepdata.org/datasets/shhs/variables/wtunits) to determine proper unit.,numeric,"","","","","",""
Interim,hrsdrive,Hours participant drives each day,"",numeric,hours,"","","","",""
Interim,hrswkday,Weekday or workday: usual hours of sleep,"",numeric,hours,"","","","",""
Interim,hrswkend,Weekend or non-workday: usual hours of sleep,"",numeric,hours,"","","","",""
Interim,intrevdt,Days from index date to Interview or Review date,"",numeric,days from index date,"","","","",""
Interim,langadmin,Language in which interview was administered,"",choices,"",lang6,"","","",""
Interim,maxinflation,Palpated + 30,"",numeric,"","","","","",""
Interim,mi_priorexam,Myocardial infarction (MI) during interval since the prior parent exam,"",choices,"",noyes,heart attack,"","",""
Interim,midt,Days from index date to myocardial infarction (MI),"",numeric,days from index date,"",heart attack,"","",""
Interim,milesdrive,Miles participant drives each year,"",numeric,miles,"","","","",""
Interim,nocontact,Reason contact not made,"",choices,"",nocontactreason,"","","",""
Interim,notenoughsleep,Do not get enough sleep,"",choices,"",nevalw,"","","",""
Interim,nottreated,Reason sleep apnea not treated,"",choices,"",spnotreated,noncompliance,"","",""
Interim,oxytherapy,Usually use oxygen therapy,"",choices,"",noyes01,o2,"","",""
Interim,palpatedsyst,Palpated systolic blood pressure,"",numeric,millimeters of mercury,"",mmhg,"","",""
Interim,pptstatus,Participant Status,"",choices,"",status,"","","",""
Interim,readin_scr,Days from index date to when record was read in at Coordinating Center (CC),"",numeric,days from index date,"","","","",""
Interim,readin_slpsym,Days from index date to when record was read in at Coordinating Center (CC),"",numeric,days from index date,"","","","",""
Interim,readin_stat,Days from index date to when record was read in at Coordinating Center (CC),"",numeric,days from index date,"","","","",""
